,Bankrupt?, Net worth/Assets, Debt ratio %, Per Share Net profit before tax (Yuan ¥), ROA(C) before interest and depreciation before interest
0,0,0.888200259999395,0.1117997400006049,0.184454319499887,0.500950616682104
1,0,0.8476887263052879,0.152311273694712,0.166754537922724,0.479647053088285
2,0,0.9668954258245908,0.0331045741754089,0.181968818257136,0.516501730609857
3,0,0.906309520210418,0.0936904797895819,0.1679596294343599,0.446302344854483
4,0,0.8823956223357621,0.117604377664238,0.17993522633125,0.575244966606542
5,0,0.867128215980893,0.058590561417299,0.218121563606236,0.577194949544191
6,0,0.914956011730205,0.0850439882697947,0.192814641861866,0.5146004972456489
7,0,0.883514224385525,0.116485775614475,0.1857347292310009,0.525520401696485
8,0,0.8520119720651809,0.147988027934819,0.184830910597274,0.508165553551406
9,0,0.935332708528585,0.0646672914714152,0.2431272124726969,0.570516257982743
10,0,0.840432929225746,0.136620612510203,0.1520674851246519,0.426266270170136
11,0,0.88765607521843,0.11234392478157,0.175491451382089,0.529907863306196
12,0,0.82353296852798,0.17646703147202,0.187693002937411,0.5216691853946279
13,0,0.91930948997793,0.0806905100220697,0.1838517737440689,0.5058255740262271
14,0,0.883725851800345,0.116274148199655,0.18324922798825,0.514405498951884
15,0,0.9163467061704508,0.0836532938295492,0.190329140619116,0.5332228343002
16,0,0.8566375427033891,0.1433624572966109,0.176696542893726,0.4870569882513529
17,0,0.957916376938658,0.0420836230613417,0.185132183475183,0.462925949397943
18,0,0.887716540194093,0.112283459805907,0.228440159674625,0.559206356944377
19,0,0.8713909967651241,0.1286090032348759,0.179407998794909,0.5308341052015789
20,0,0.8713909967651241,0.1286090032348759,0.17436167808993,0.5557451372300489
21,0,0.83097016053451,0.16902983946549,0.220456428410032,0.557061375712963
22,0,0.8207213471596579,0.1792786528403419,0.174512314528885,0.4948081704285089
23,0,0.812770202859993,0.1872297971400069,0.2001205091511639,0.524740408521425
24,0,0.856425915288569,0.143574084711431,0.181290954281841,0.502949349193195
25,0,0.83160504277897,0.1683949572210299,0.167808992995406,0.506069321893433
26,0,0.933881549112677,0.0661184508873235,0.252692626346313,0.58743235996685
27,0,0.835867823563201,0.164132176436799,0.170595767116065,0.483205771949495
28,0,0.944493152341506,0.0555068476584938,0.18882277622957,0.5599376005459951
29,0,0.8276445868730541,0.1723554131269459,0.188747458010093,0.520499195632038
30,0,0.8236538984793059,0.1763461015206939,0.21247269714544,0.522839175157217
31,0,0.831937600145116,0.168062399854884,0.178278225502749,0.485155754887145
32,0,0.8761979623303199,0.1238020376696799,0.204790238758756,0.540194023302296
33,0,0.8314236478519821,0.168576352148018,0.1845296377193639,0.513918003217472
34,0,0.848232911086253,0.151767088913747,0.17270467726143,0.471652123043923
35,0,0.9173746107567192,0.0826253892432808,0.1744369963094069,0.515672987861356
36,0,0.8911932762947059,0.108806723705294,0.1807637267455,0.527616633354458
37,0,0.8079330048069658,0.192066995193034,0.1423514348120809,0.4687758982108909
38,0,0.9374187501889528,0.0625812498110469,0.180387135648113,0.505240579144932
39,0,0.8932793179550749,0.106720682044925,0.175114860284703,0.507483059523229
40,0,0.8658282190041421,0.134171780995858,0.190253822399638,0.50275435089943
41,0,0.915349034072014,0.0846509659279862,0.307223017247872,0.654073026861015
42,0,0.813495782567948,0.186504217432052,0.166151992166905,0.4770633256959
43,0,0.842579435861777,0.157420564138223,0.1971077803720719,0.550041437137425
44,0,0.890649091513741,0.109350908486259,0.189500640204866,0.526007897430897
45,0,0.88892583970735,0.1110741602926499,0.171424267530316,0.4698483888265979
46,0,0.8875049127792729,0.1124950872207269,0.167357083678542,0.474723346170721
47,0,0.973818665537987,0.0261813344620129,0.180613090306545,0.496173158484863
48,0,0.893128155515917,0.106871844484083,0.180311817428636,0.5048505825574029
49,0,0.892704900686277,0.107295099313723,0.178504180161181,0.4906644566860039
50,0,0.8904072316110891,0.109592768388911,0.2062212849288239,0.387071613123385
51,0,0.791758623817154,0.208241376182846,0.129697973939896,0.249841563886316
52,0,0.921244369199141,0.0787556308008586,0.19243805076448,0.558913859503729
53,0,0.8919490884904921,0.108050911509508,0.1856594110115239,0.5180129673865349
54,0,0.912749040118511,0.0872509598814886,0.209158695488439,0.5688100229123001
55,0,0.9106629984581428,0.0893370015418569,0.17074640355502,0.5246429093745429
56,0,0.889046769658675,0.110953230341325,0.1862619567673419,0.509579291181202
57,0,0.855337545726638,0.144662454273362,0.174286359870453,0.491151952420416
58,0,0.901200229766908,0.0987997702330925,0.177675679746931,0.5006093696680151
59,0,0.915137406657194,0.0848625933428062,0.183173909768773,0.4940281772534489
60,0,0.832632947365239,0.1673670526347609,0.182872636890864,0.504899332130844
61,0,0.915137406657194,0.130846207334402,0.1891240491074789,0.512845512601765
62,0,0.904979290745836,0.0950207092541645,0.219326655117873,0.579973675230342
63,0,0.89361187532122,0.1063881246787799,0.234390299013331,0.6099059133232579
64,0,0.8852979411675791,0.1147020588324209,0.170219176018679,0.46477843318871
65,0,0.8985397708377421,0.101460229162258,0.174211041650975,0.4842782625652029
66,0,0.921607159053118,0.0783928409468815,0.183776455524591,0.500316872227368
67,0,0.946972216343683,0.0530277836563171,0.17157490396927,0.517476722078682
68,0,0.9470931462950092,0.0529068537049914,0.173307223017248,0.504655584263638
69,0,0.8892886295613271,0.110711370438673,0.179182044136477,0.502656851752547
70,0,0.9309187653051972,0.069081234694803,0.172855313700384,0.49168819772827
71,0,0.837802702784412,0.162197297215588,0.190178504180161,0.497050650806805
72,0,0.937479215164616,0.0625207848353841,0.1873164118400239,0.526592892312192
