,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Net Value Per Share (B), Net Value Per Share (A), Persistent EPS in the Last Four Seasons, Per Share Net profit before tax (Yuan ¥), Debt ratio %, Net worth/Assets, Net profit before tax/Paid-in capital, Current Liability to Assets, Net Income to Total Assets
0,0,0.500950616682104,0.584169210641082,0.5537769687884789,0.182040369137415,0.182040369137415,0.2213292994232769,0.184454319499887,0.1117997400006049,0.888200259999395,0.182210994645954,0.100974623504978,0.8201747077582479
1,0,0.479647053088285,0.5887483645878759,0.530006959687349,0.1831359824701869,0.1831359824701869,0.209794837855725,0.166754537922724,0.152311273694712,0.8476887263052879,0.1658321393560059,0.0707662964926867,0.7893196045954449
2,0,0.516501730609857,0.580952900130833,0.5687135285614859,0.181113311701993,0.181113311701993,0.226623806372317,0.181968818257136,0.0331045741754089,0.9668954258245908,0.180996908227132,0.0342123438282414,0.8265155852609871
3,0,0.446302344854483,0.5315089402529439,0.49954494351946,0.176941553242594,0.176941553242594,0.208093032050676,0.1679596294343599,0.0936904797895819,0.906309520210418,0.166948193952191,0.0407272871794871,0.794110529717376
4,0,0.575244966606542,0.560564762320105,0.547780930456663,0.177194387088618,0.177194387088618,0.224449276732533,0.17993522633125,0.117604377664238,0.8823956223357621,0.178998567227208,0.124031995308449,0.811586146859123
5,0,0.577194949544191,0.64691452245966,0.634509342041865,0.2254435127049009,0.2254435127049009,0.2703034887018999,0.218121563606236,0.058590561417299,0.867128215980893,0.217178191689918,0.0347303090542538,0.860656754537218
6,0,0.5146004972456489,0.577464020933275,0.559291182611489,0.2033626901521219,0.2033626901521219,0.237212820270398,0.192814641861866,0.0850439882697947,0.914956011730205,0.1911695950531629,0.0891995303785579,0.825437202900731
7,0,0.525520401696485,0.583460532054078,0.5816157181861981,0.1827567317011499,0.1827567317011499,0.232674671456935,0.1857347292310009,0.116485775614475,0.883514224385525,0.1840660583666389,0.0740394773915832,0.8232959278958281
8,0,0.508165553551406,0.576373746184038,0.563145778681942,0.177657915806329,0.177657915806329,0.230783776117992,0.184830910597274,0.147988027934819,0.8520119720651809,0.182444762838398,0.153329874844605,0.8179098571302651
9,0,0.570516257982743,0.631541648495421,0.608972643075111,0.276979478319498,0.276979478319498,0.280136144464404,0.2431272124726969,0.0646672914714152,0.935332708528585,0.237553728979715,0.0506967217261052,0.8459689197589441
10,0,0.426266270170136,0.4733427823811599,0.468815247068901,0.15734693017572,0.15734693017572,0.193154958873026,0.1520674851246519,0.136620612510203,0.840432929225746,0.1510972023226,0.139374961769518,0.7502933255384009
11,0,0.529907863306196,0.5535324901875269,0.575512607741314,0.172938350680544,0.172938350680544,0.221423844190224,0.175491451382089,0.11234392478157,0.88765607521843,0.174489103385868,0.0548583342418367,0.8087403884924459
12,0,0.5216691853946279,0.5722852158744,0.56416296375609,0.1768994142682569,0.1768994142682569,0.232391037156093,0.187693002937411,0.17646703147202,0.82353296852798,0.186720458487294,0.122681100759244,0.8148620351239709
13,0,0.5058255740262271,0.5747928477976451,0.5613255527597839,0.193544309131516,0.193544309131516,0.231351044719675,0.1838517737440689,0.0806905100220697,0.91930948997793,0.182889676494985,0.0344567251238026,0.8216374552535899
14,0,0.514405498951884,0.5731574356737901,0.5695165694094971,0.1841894568286209,0.1841894568286209,0.230405597050203,0.18324922798825,0.116274148199655,0.883725851800345,0.20042983183772,0.0902337976575062,0.819043622182775
15,0,0.5332228343002,0.5925643262102049,0.577921730285347,0.17732080401163,0.185917154776453,0.234754656329772,0.190329140619116,0.0836532938295492,0.9163467061704508,0.189344694970213,0.0642135238399523,0.831546563016931
16,0,0.4870569882513529,0.548299171391191,0.532309010118315,0.189625384518141,0.189625384518141,0.216885695376761,0.176696542893726,0.1433624572966109,0.8566375427033891,0.17570318980469,0.0581986979935234,0.8029006196419899
17,0,0.462925949397943,0.577409507195813,0.5061834145296861,0.167923812734398,0.167923812734398,0.211496643660773,0.185132183475183,0.0420836230613417,0.957916376938658,0.165975416635246,0.0411740575883506,0.8216130033039101
