,Bankrupt?, Net worth/Assets, Debt ratio %, ROA(C) before interest and depreciation before interest, Per Share Net profit before tax (Yuan ¥)
0,0,0.888200259999395,0.1117997400006049,0.500950616682104,0.184454319499887
1,0,0.8476887263052879,0.152311273694712,0.479647053088285,0.166754537922724
2,0,0.9668954258245908,0.0331045741754089,0.516501730609857,0.181968818257136
3,0,0.906309520210418,0.0936904797895819,0.446302344854483,0.1679596294343599
4,0,0.8823956223357621,0.117604377664238,0.575244966606542,0.17993522633125
5,0,0.867128215980893,0.058590561417299,0.577194949544191,0.218121563606236
6,0,0.914956011730205,0.0850439882697947,0.5146004972456489,0.192814641861866
7,0,0.883514224385525,0.116485775614475,0.525520401696485,0.1857347292310009
8,0,0.8520119720651809,0.147988027934819,0.508165553551406,0.184830910597274
9,0,0.935332708528585,0.0646672914714152,0.570516257982743,0.2431272124726969
10,0,0.840432929225746,0.136620612510203,0.426266270170136,0.1520674851246519
11,0,0.88765607521843,0.11234392478157,0.529907863306196,0.175491451382089
12,0,0.82353296852798,0.17646703147202,0.5216691853946279,0.187693002937411
13,0,0.91930948997793,0.0806905100220697,0.5058255740262271,0.1838517737440689
14,0,0.883725851800345,0.116274148199655,0.514405498951884,0.18324922798825
15,0,0.9163467061704508,0.0836532938295492,0.5332228343002,0.190329140619116
16,0,0.8566375427033891,0.1433624572966109,0.4870569882513529,0.176696542893726
17,0,0.957916376938658,0.0420836230613417,0.462925949397943,0.185132183475183
18,0,0.887716540194093,0.112283459805907,0.559206356944377,0.228440159674625
19,0,0.8713909967651241,0.1286090032348759,0.5308341052015789,0.179407998794909
20,0,0.8713909967651241,0.1286090032348759,0.5557451372300489,0.17436167808993
21,0,0.83097016053451,0.16902983946549,0.557061375712963,0.220456428410032
22,0,0.8207213471596579,0.1792786528403419,0.4948081704285089,0.174512314528885
23,0,0.812770202859993,0.1872297971400069,0.524740408521425,0.2001205091511639
24,0,0.856425915288569,0.143574084711431,0.502949349193195,0.181290954281841
25,0,0.83160504277897,0.1683949572210299,0.506069321893433,0.167808992995406
26,0,0.933881549112677,0.0661184508873235,0.58743235996685,0.252692626346313
27,0,0.835867823563201,0.164132176436799,0.483205771949495,0.170595767116065
28,0,0.944493152341506,0.0555068476584938,0.5599376005459951,0.18882277622957
29,0,0.8276445868730541,0.1723554131269459,0.520499195632038,0.188747458010093
30,0,0.8236538984793059,0.1763461015206939,0.522839175157217,0.21247269714544
31,0,0.831937600145116,0.168062399854884,0.485155754887145,0.178278225502749
32,0,0.8761979623303199,0.1238020376696799,0.540194023302296,0.204790238758756
33,0,0.8314236478519821,0.168576352148018,0.513918003217472,0.1845296377193639
34,0,0.848232911086253,0.151767088913747,0.471652123043923,0.17270467726143
35,0,0.9173746107567192,0.0826253892432808,0.515672987861356,0.1744369963094069
36,0,0.8911932762947059,0.108806723705294,0.527616633354458,0.1807637267455
37,0,0.8079330048069658,0.192066995193034,0.4687758982108909,0.1423514348120809
38,0,0.9374187501889528,0.0625812498110469,0.505240579144932,0.180387135648113
